Period,KPI_Category,KPI_Name,Value,Target,YoY_Growth
2022-Q2,Financial,Total Revenue,2150000,2500000,0.2
2022-Q2,Financial,Operating Margin,0.17,0.25,0.03
2022-Q2,Customer,Active Users,52000,60000,0.25
2022-Q2,Customer,Customer Satisfaction,78,85,0.02
2022-Q2,Operations,Transaction Volume,5200000,6000000,0.3
2022-Q2,Operations,Transaction Success Rate,95.5,99,0.01
2022-Q2,Growth,New Market Entry,2,3,0.15
2022-Q2,Growth,Product Adoption Rate,0.32,0.5,0.08
2022-Q3,Financial,Total Revenue,2320000,2600000,0.22
2022-Q3,Financial,Operating Margin,0.18,0.25,0.04
2022-Q3,Customer,Active Users,57000,62000,0.28
2022-Q3,Customer,Customer Satisfaction,79,85,0.03
2022-Q3,Operations,Transaction Volume,5800000,6200000,0.35
2022-Q3,Operations,Transaction Success Rate,96.2,99,0.012
2022-Q3,Growth,New Market Entry,3,3,0.2
2022-Q3,Growth,Product Adoption Rate,0.34,0.5,0.09
2022-Q4,Financial,Total Revenue,2500000,2700000,0.25
2022-Q4,Financial,Operating Margin,0.19,0.25,0.05
2022-Q4,Customer,Active Users,63000,65000,0.32
2022-Q4,Customer,Customer Satisfaction,80.5,85,0.035
2022-Q4,Operations,Transaction Volume,6500000,6500000,0.4
2022-Q4,Operations,Transaction Success Rate,96.8,99,0.015
2022-Q4,Growth,New Market Entry,3,4,0.2
2022-Q4,Growth,Product Adoption Rate,0.36,0.5,0.1
2023-Q1,Financial,Total Revenue,2600000,2800000,0.28
2023-Q1,Financial,Operating Margin,0.2,0.25,0.06
2023-Q1,Customer,Active Users,68000,70000,0.35
2023-Q1,Customer,Customer Satisfaction,81.5,85,0.04
2023-Q1,Operations,Transaction Volume,7000000,7000000,0.42
2023-Q1,Operations,Transaction Success Rate,97.3,99,0.018
2023-Q1,Growth,New Market Entry,4,4,0.22
2023-Q1,Growth,Product Adoption Rate,0.38,0.5,0.11
2023-Q2,Financial,Total Revenue,2750000,2900000,0.28
2023-Q2,Financial,Operating Margin,0.21,0.25,0.06
2023-Q2,Customer,Active Users,73000,75000,0.4
2023-Q2,Customer,Customer Satisfaction,82.5,85,0.045
2023-Q2,Operations,Transaction Volume,7600000,7500000,0.46
2023-Q2,Operations,Transaction Success Rate,97.8,99,0.02
2023-Q2,Growth,New Market Entry,5,5,0.25
2023-Q2,Growth,Product Adoption Rate,0.4,0.5,0.125
2023-Q3,Financial,Total Revenue,2900000,3000000,0.29
2023-Q3,Financial,Operating Margin,0.22,0.25,0.07
2023-Q3,Customer,Active Users,78000,80000,0.42
2023-Q3,Customer,Customer Satisfaction,83.2,85,0.05
2023-Q3,Operations,Transaction Volume,8200000,8000000,0.48
2023-Q3,Operations,Transaction Success Rate,98.2,99,0.022
2023-Q3,Growth,New Market Entry,5,6,0.25
2023-Q3,Growth,Product Adoption Rate,0.42,0.5,0.13
2023-Q4,Financial,Total Revenue,3100000,3200000,0.32
2023-Q4,Financial,Operating Margin,0.23,0.25,0.08
2023-Q4,Customer,Active Users,84000,85000,0.45
2023-Q4,Customer,Customer Satisfaction,84.1,85,0.055
2023-Q4,Operations,Transaction Volume,8900000,8500000,0.52
2023-Q4,Operations,Transaction Success Rate,98.6,99,0.024
2023-Q4,Growth,New Market Entry,6,6,0.28
2023-Q4,Growth,Product Adoption Rate,0.44,0.5,0.14
2024-Q1,Financial,Total Revenue,3300000,3400000,0.34
2024-Q1,Financial,Operating Margin,0.24,0.25,0.09
2024-Q1,Customer,Active Users,90000,90000,0.48
2024-Q1,Customer,Customer Satisfaction,84.8,85,0.06
2024-Q1,Operations,Transaction Volume,9500000,9000000,0.55
2024-Q1,Operations,Transaction Success Rate,99.1,99,0.025
2024-Q1,Growth,New Market Entry,7,7,0.3
2024-Q1,Growth,Product Adoption Rate,0.46,0.5,0.145
